Local Authority,Library,Month,Type,Loans
Cambridgeshire,Great Shelford Library,2019-12,Quick Pick fiction,2
Cambridgeshire,Great Shelford Library,2019-12,Teenage,7
Cambridgeshire,Great Shelford Library,2019-12,Young adult,3
Cambridgeshire,Great Shelford Library,2019-12,Young adult plus,1
Cambridgeshire,Great Shelford Library,2020-01,Adult fiction,18
Cambridgeshire,Great Shelford Library,2020-01,Adult fiction hardback,52
Cambridgeshire,Great Shelford Library,2020-01,Adult fiction large print hardback,4
Cambridgeshire,Great Shelford Library,2020-01,Adult fiction large print paperback,4
Cambridgeshire,Great Shelford Library,2020-01,Adult fiction paperback,114
Cambridgeshire,Great Shelford Library,2020-01,Adult non fiction hardback,35
Cambridgeshire,Great Shelford Library,2020-01,Adult non fiction large print paperback,1
Cambridgeshire,Great Shelford Library,2020-01,Adult non fiction paperback,57
Cambridgeshire,Great Shelford Library,2020-01,Adult non-fiction,2
Cambridgeshire,Great Shelford Library,2020-01,Adult spoken word cassette set,1
Cambridgeshire,Great Shelford Library,2020-01,Adult spoken word CD set,10
Cambridgeshire,Great Shelford Library,2020-01,Children's fiction,1
Cambridgeshire,Great Shelford Library,2020-01,Children's non-fiction,5
Cambridgeshire,Great Shelford Library,2020-01,Children's spoken word CD set,6
Cambridgeshire,Great Shelford Library,2020-01,DVD: 12,2
Cambridgeshire,Great Shelford Library,2020-01,DVD: U,7
Cambridgeshire,Great Shelford Library,2020-01,Junior fiction,480
Cambridgeshire,Great Shelford Library,2020-01,Junior non-fiction,61
Cambridgeshire,Great Shelford Library,2020-01,Picture Book,1
Cambridgeshire,Great Shelford Library,2020-01,Quick Pick fiction,4
Cambridgeshire,Great Shelford Library,2020-01,Teenage,17
Cambridgeshire,Great Shelford Library,2020-01,Young adult,8
Cambridgeshire,Haddenham Library Access Point,2019-12,Adult fiction hardback,2
Cambridgeshire,Haddenham Library Access Point,2019-12,Adult fiction paperback,55
Cambridgeshire,Haddenham Library Access Point,2019-12,Adult non fiction hardback,1
Cambridgeshire,Haddenham Library Access Point,2019-12,Adult non fiction paperback,3
Cambridgeshire,Haddenham Library Access Point,2019-12,Junior fiction,49
Cambridgeshire,Haddenham Library Access Point,2019-12,Junior non-fiction,10
Cambridgeshire,Haddenham Library Access Point,2019-12,Young adult,6
Cambridgeshire,Haddenham Library Access Point,2020-01,Adult fiction,1
Cambridgeshire,Haddenham Library Access Point,2020-01,Adult fiction hardback,3
Cambridgeshire,Haddenham Library Access Point,2020-01,Adult fiction paperback,54
Cambridgeshire,Haddenham Library Access Point,2020-01,Adult non fiction hardback,4
Cambridgeshire,Haddenham Library Access Point,2020-01,Adult non fiction paperback,9
Cambridgeshire,Haddenham Library Access Point,2020-01,Junior fiction,60
Cambridgeshire,Haddenham Library Access Point,2020-01,Junior non-fiction,9
Cambridgeshire,Haddenham Library Access Point,2020-01,Young adult,7
Cambridgeshire,Histon Library,2019-12,Adult fiction,4
Cambridgeshire,Histon Library,2019-12,Adult fiction hardback,63
Cambridgeshire,Histon Library,2019-12,Adult fiction large print hardback,14
Cambridgeshire,Histon Library,2019-12,Adult fiction large print paperback,6
Cambridgeshire,Histon Library,2019-12,Adult fiction paperback,90
Cambridgeshire,Histon Library,2019-12,Adult non fiction hardback,22
Cambridgeshire,Histon Library,2019-12,Adult non fiction large print paperback,1
Cambridgeshire,Histon Library,2019-12,Adult non fiction paperback,21
Cambridgeshire,Histon Library,2019-12,Adult spoken word cassette set,1
Cambridgeshire,Histon Library,2019-12,Adult spoken word CD,1
Cambridgeshire,Histon Library,2019-12,Adult spoken word CD set,7
Cambridgeshire,Histon Library,2019-12,Children's fiction,3
Cambridgeshire,Histon Library,2019-12,Children's spoken word CD set,2
Cambridgeshire,Histon Library,2019-12,DVD: 12,2
Cambridgeshire,Histon Library,2019-12,DVD: U,4
Cambridgeshire,Histon Library,2019-12,Junior fiction,312
Cambridgeshire,Histon Library,2019-12,Junior non-fiction,34
Cambridgeshire,Histon Library,2019-12,Picture Book,3
Cambridgeshire,Histon Library,2019-12,Teenage,4
Cambridgeshire,Histon Library,2019-12,Young adult,4
Cambridgeshire,Histon Library,2020-01,Adult fiction,2
Cambridgeshire,Histon Library,2020-01,Adult fiction hardback,66
Cambridgeshire,Histon Library,2020-01,Adult fiction large print hardback,14
Cambridgeshire,Histon Library,2020-01,Adult fiction large print paperback,9
Cambridgeshire,Histon Library,2020-01,Adult fiction paperback,124
Cambridgeshire,Histon Library,2020-01,Adult non fiction hardback,32
Cambridgeshire,Histon Library,2020-01,Adult non fiction large print hardback,2
Cambridgeshire,Histon Library,2020-01,Adult non fiction paperback,56
Cambridgeshire,Histon Library,2020-01,Adult non-fiction,1
Cambridgeshire,Histon Library,2020-01,Adult spoken word CD set,5
Cambridgeshire,Histon Library,2020-01,Children's fiction,1
Cambridgeshire,Histon Library,2020-01,Children's non-fiction,1
Cambridgeshire,Histon Library,2020-01,Children's spoken word CD set,5
Cambridgeshire,Histon Library,2020-01,DVD short,1
Cambridgeshire,Histon Library,2020-01,DVD: 12,3
Cambridgeshire,Histon Library,2020-01,DVD: 15,1
Cambridgeshire,Histon Library,2020-01,DVD: U,4
Cambridgeshire,Histon Library,2020-01,Junior fiction,396
Cambridgeshire,Histon Library,2020-01,Junior non-fiction,149
Cambridgeshire,Histon Library,2020-01,Picture Book,2
Cambridgeshire,Histon Library,2020-01,Teenage,14
Cambridgeshire,Histon Library,2020-01,Young adult,4
Cambridgeshire,Histon Library,2020-01,Young adult plus,2
Cambridgeshire,Huntingdon Library,2019-12,Adult fiction,42
Cambridgeshire,Huntingdon Library,2019-12,Adult fiction hardback,135
Cambridgeshire,Huntingdon Library,2019-12,Adult fiction large print hardback,27
Cambridgeshire,Huntingdon Library,2019-12,Adult fiction large print paperback,31
Cambridgeshire,Huntingdon Library,2019-12,Adult fiction paperback,335
Cambridgeshire,Huntingdon Library,2019-12,Adult non fiction hardback,43
Cambridgeshire,Huntingdon Library,2019-12,Adult non fiction paperback,87
Cambridgeshire,Huntingdon Library,2019-12,Adult non-fiction,6
Cambridgeshire,Huntingdon Library,2019-12,Adult spoken word CD,1
Cambridgeshire,Huntingdon Library,2019-12,Adult spoken word CD set,6
Cambridgeshire,Huntingdon Library,2019-12,Children's fiction,8
Cambridgeshire,Huntingdon Library,2019-12,Children's non-fiction,2
Cambridgeshire,Huntingdon Library,2019-12,Children's spoken word CD set,2
Cambridgeshire,Huntingdon Library,2019-12,DVD: 12,4
Cambridgeshire,Huntingdon Library,2019-12,DVD: 15,3
Cambridgeshire,Huntingdon Library,2019-12,DVD: PG,3
Cambridgeshire,Huntingdon Library,2019-12,DVD: U,1
Cambridgeshire,Huntingdon Library,2019-12,Junior fiction,403
Cambridgeshire,Huntingdon Library,2019-12,Junior large print,4
Cambridgeshire,Huntingdon Library,2019-12,Junior non-fiction,103
Cambridgeshire,Huntingdon Library,2019-12,Map,4
Cambridgeshire,Huntingdon Library,2019-12,Picture Book,1
Cambridgeshire,Huntingdon Library,2019-12,Quick Pick fiction,3
Cambridgeshire,Huntingdon Library,2019-12,Teenage,11
Cambridgeshire,Huntingdon Library,2019-12,Young adult,12
Cambridgeshire,Huntingdon Library,2019-12,Young adult plus,1
Cambridgeshire,Huntingdon Library,2020-01,Adult fiction,53
Cambridgeshire,Huntingdon Library,2020-01,Adult fiction hardback,209
Cambridgeshire,Huntingdon Library,2020-01,Adult fiction large print hardback,36
Cambridgeshire,Huntingdon Library,2020-01,Adult fiction large print paperback,32
Cambridgeshire,Huntingdon Library,2020-01,Adult fiction paperback,456
Cambridgeshire,Huntingdon Library,2020-01,Adult non fiction hardback,59
Cambridgeshire,Huntingdon Library,2020-01,Adult non fiction large print hardback,2
Cambridgeshire,Huntingdon Library,2020-01,Adult non fiction large print paperback,1
Cambridgeshire,Huntingdon Library,2020-01,Adult non fiction paperback,119
Cambridgeshire,Huntingdon Library,2020-01,Adult non-fiction,13
Cambridgeshire,Huntingdon Library,2020-01,Adult spoken word cassette,1
Cambridgeshire,Huntingdon Library,2020-01,Adult spoken word CD,1
Cambridgeshire,Huntingdon Library,2020-01,Adult spoken word CD set,1
Cambridgeshire,Huntingdon Library,2020-01,CD,2
Cambridgeshire,Huntingdon Library,2020-01,Children's fiction,11
Cambridgeshire,Huntingdon Library,2020-01,Children's non-fiction,2
Cambridgeshire,Huntingdon Library,2020-01,Children's spoken word CD set,10
Cambridgeshire,Huntingdon Library,2020-01,DVD: 12,5
Cambridgeshire,Huntingdon Library,2020-01,DVD: 15,3
Cambridgeshire,Huntingdon Library,2020-01,DVD: PG,2
Cambridgeshire,Huntingdon Library,2020-01,DVD: U,1
Cambridgeshire,Huntingdon Library,2020-01,Junior fiction,376
Cambridgeshire,Huntingdon Library,2020-01,Junior large print,5
Cambridgeshire,Huntingdon Library,2020-01,Junior non-fiction,75
Cambridgeshire,Huntingdon Library,2020-01,Map,12
Cambridgeshire,Huntingdon Library,2020-01,Music score,2
Cambridgeshire,Huntingdon Library,2020-01,Picture Book,1
Cambridgeshire,Huntingdon Library,2020-01,Quick Pick fiction,3
Cambridgeshire,Huntingdon Library,2020-01,Teenage,32
Cambridgeshire,Huntingdon Library,2020-01,Young adult,12
Cambridgeshire,Huntingdon Library,2020-01,Young adult plus,2
Cambridgeshire,Linton Library,2019-12,Adult fiction,4
Cambridgeshire,Linton Library,2019-12,Adult fiction hardback,33
Cambridgeshire,Linton Library,2019-12,Adult fiction large print hardback,2
Cambridgeshire,Linton Library,2019-12,Adult fiction paperback,43
Cambridgeshire,Linton Library,2019-12,Adult non fiction hardback,18
Cambridgeshire,Linton Library,2019-12,Adult non fiction paperback,8
Cambridgeshire,Linton Library,2019-12,Adult non-fiction,5
Cambridgeshire,Linton Library,2019-12,Adult spoken word CD,1
Cambridgeshire,Linton Library,2019-12,Adult spoken word CD set,3
Cambridgeshire,Linton Library,2019-12,Junior fiction,123
Cambridgeshire,Linton Library,2019-12,Junior non-fiction,15
Cambridgeshire,Linton Library,2019-12,Picture Book,1
Cambridgeshire,Linton Library,2019-12,Quick Pick fiction,1
Cambridgeshire,Linton Library,2019-12,Teenage,3
Cambridgeshire,Linton Library,2019-12,Young adult,2
Cambridgeshire,Linton Library,2020-01,Adult fiction,3
Cambridgeshire,Linton Library,2020-01,Adult fiction hardback,37
Cambridgeshire,Linton Library,2020-01,Adult fiction large print hardback,11
Cambridgeshire,Linton Library,2020-01,Adult fiction large print paperback,6
Cambridgeshire,Linton Library,2020-01,Adult fiction paperback,78
Cambridgeshire,Linton Library,2020-01,Adult non fiction hardback,11
Cambridgeshire,Linton Library,2020-01,Adult non fiction large print hardback,2
Cambridgeshire,Linton Library,2020-01,Adult non fiction large print paperback,1
Cambridgeshire,Linton Library,2020-01,Adult non fiction paperback,26
Cambridgeshire,Linton Library,2020-01,Adult spoken word CD set,2
Cambridgeshire,Linton Library,2020-01,Children's non-fiction,2
Cambridgeshire,Linton Library,2020-01,Junior fiction,266
Cambridgeshire,Linton Library,2020-01,Junior non-fiction,22
Cambridgeshire,Linton Library,2020-01,Picture Book,1
Cambridgeshire,Linton Library,2020-01,Quick Pick fiction,1
Cambridgeshire,Linton Library,2020-01,Teenage,3
Cambridgeshire,Linton Library,2020-01,Young adult,1
Cambridgeshire,Linton Library,2020-01,Young adult plus,1
Cambridgeshire,Little Downham Library Access Point,2020-01,Adult fiction hardback,3
Cambridgeshire,Little Downham Library Access Point,2020-01,Adult fiction large print hardback,3
Cambridgeshire,Little Downham Library Access Point,2020-01,Adult fiction large print paperback,4
Cambridgeshire,Little Downham Library Access Point,2020-01,Adult fiction paperback,25
Cambridgeshire,Little Downham Library Access Point,2020-01,Adult non fiction paperback,1
Cambridgeshire,Little Downham Library Access Point,2020-01,Children's fiction,1
Cambridgeshire,Little Downham Library Access Point,2020-01,Junior fiction,13
Cambridgeshire,Little Downham Library Access Point,2020-01,Quick Pick fiction,1
Cambridgeshire,Littleport Library,2019-12,Adult fiction,2
Cambridgeshire,Littleport Library,2019-12,Adult fiction hardback,9
Cambridgeshire,Littleport Library,2019-12,Adult fiction large print hardback,1
Cambridgeshire,Littleport Library,2019-12,Adult fiction large print paperback,4
Cambridgeshire,Littleport Library,2019-12,Adult fiction paperback,18
Cambridgeshire,Littleport Library,2019-12,Adult non fiction hardback,8
Cambridgeshire,Littleport Library,2019-12,Adult non fiction paperback,4
Cambridgeshire,Littleport Library,2019-12,Adult non-fiction,1
Cambridgeshire,Littleport Library,2019-12,Adult spoken word CD set,7
Cambridgeshire,Littleport Library,2019-12,Junior fiction,61
Cambridgeshire,Littleport Library,2019-12,Junior non-fiction,5
Cambridgeshire,Littleport Library,2020-01,Adult fiction hardback,24
Cambridgeshire,Littleport Library,2020-01,Adult fiction large print hardback,20
Cambridgeshire,Littleport Library,2020-01,Adult fiction large print paperback,4
Cambridgeshire,Littleport Library,2020-01,Adult fiction paperback,54
Cambridgeshire,Littleport Library,2020-01,Adult non fiction hardback,23
Cambridgeshire,Littleport Library,2020-01,Adult non fiction large print paperback,1
Cambridgeshire,Littleport Library,2020-01,Adult non fiction paperback,20
Cambridgeshire,Littleport Library,2020-01,Adult spoken word CD set,5
Cambridgeshire,Littleport Library,2020-01,Children's non-fiction,1
Cambridgeshire,Littleport Library,2020-01,DVD: U,1
Cambridgeshire,Littleport Library,2020-01,Junior fiction,97
Cambridgeshire,Littleport Library,2020-01,Junior non-fiction,11
Cambridgeshire,Littleport Library,2020-01,Picture Book,1
Cambridgeshire,Littleport Library,2020-01,Young adult,1
Cambridgeshire,March Library,2019-12,Adult fiction,31
Cambridgeshire,March Library,2019-12,Adult fiction hardback,86
Cambridgeshire,March Library,2019-12,Adult fiction large print hardback,33
Cambridgeshire,March Library,2019-12,Adult fiction large print paperback,17
Cambridgeshire,March Library,2019-12,Adult fiction paperback,222
Cambridgeshire,March Library,2019-12,Adult non fiction hardback,38
Cambridgeshire,March Library,2019-12,Adult non fiction large print hardback,1
Cambridgeshire,March Library,2019-12,Adult non fiction large print paperback,1
Cambridgeshire,March Library,2019-12,Adult non fiction paperback,73
Cambridgeshire,March Library,2019-12,Adult non-fiction,6
Cambridgeshire,March Library,2019-12,Adult spoken word cassette set,8
Cambridgeshire,March Library,2019-12,Adult spoken word CD set,39
Cambridgeshire,March Library,2019-12,Children's fiction,1
Cambridgeshire,March Library,2019-12,Children's non-fiction,2
Cambridgeshire,March Library,2019-12,Children's spoken word CD set,8
Cambridgeshire,March Library,2019-12,DVD: 12,6
Cambridgeshire,March Library,2019-12,DVD: 15,2
Cambridgeshire,March Library,2019-12,DVD: PG,2
Cambridgeshire,March Library,2019-12,DVD: U,1
Cambridgeshire,March Library,2019-12,Junior fiction,187
Cambridgeshire,March Library,2019-12,Junior non-fiction,32
Cambridgeshire,March Library,2019-12,Magazine for loan,2
Cambridgeshire,March Library,2019-12,Picture Book,3
Cambridgeshire,March Library,2019-12,Quick Pick fiction,4
Cambridgeshire,March Library,2019-12,Teenage,11
Cambridgeshire,March Library,2019-12,Young adult,1
Cambridgeshire,March Library,2020-01,Adult fiction,30
Cambridgeshire,March Library,2020-01,Adult fiction hardback,112
Cambridgeshire,March Library,2020-01,Adult fiction large print hardback,66
Cambridgeshire,March Library,2020-01,Adult fiction large print paperback,22
Cambridgeshire,March Library,2020-01,Adult fiction paperback,248
Cambridgeshire,March Library,2020-01,Adult non fiction hardback,44
Cambridgeshire,March Library,2020-01,Adult non fiction large print paperback,1
Cambridgeshire,March Library,2020-01,Adult non fiction paperback,41
Cambridgeshire,March Library,2020-01,Adult non-fiction,1
Cambridgeshire,March Library,2020-01,Adult spoken word cassette set,2
Cambridgeshire,March Library,2020-01,Adult spoken word CD,1
Cambridgeshire,March Library,2020-01,Adult spoken word CD set,31
Cambridgeshire,March Library,2020-01,Blu-Ray: 15,1
Cambridgeshire,March Library,2020-01,Children's fiction,2
Cambridgeshire,March Library,2020-01,Children's non-fiction,3
Cambridgeshire,March Library,2020-01,Children's spoken word CD set,4
Cambridgeshire,March Library,2020-01,Devices and electronics,1
Cambridgeshire,March Library,2020-01,DVD: 12,3
Cambridgeshire,March Library,2020-01,DVD: 15,1
Cambridgeshire,March Library,2020-01,DVD: PG,5
Cambridgeshire,March Library,2020-01,DVD: U,1
Cambridgeshire,March Library,2020-01,Junior fiction,306
Cambridgeshire,March Library,2020-01,Junior non-fiction,45
Cambridgeshire,March Library,2020-01,Magazine for loan,2
Cambridgeshire,March Library,2020-01,Picture Book,2
Cambridgeshire,March Library,2020-01,Quick Pick fiction,2
Cambridgeshire,March Library,2020-01,Teenage,3
Cambridgeshire,March Library,2020-01,Young adult,5
Cambridgeshire,March Library,2020-01,Young adult plus,1
Cambridgeshire,Melbourn Library Access Point,2019-12,Adult fiction hardback,4
Cambridgeshire,Melbourn Library Access Point,2019-12,Adult fiction large print paperback,2
Cambridgeshire,Melbourn Library Access Point,2019-12,Adult fiction paperback,38
Cambridgeshire,Melbourn Library Access Point,2019-12,Adult non fiction paperback,1
Cambridgeshire,Melbourn Library Access Point,2019-12,Children's fiction,6
Cambridgeshire,Melbourn Library Access Point,2019-12,Junior fiction,34
Cambridgeshire,Melbourn Library Access Point,2019-12,Junior non-fiction,5
Cambridgeshire,Melbourn Library Access Point,2019-12,Picture Book,1
Cambridgeshire,Melbourn Library Access Point,2020-01,Adult fiction,1
Cambridgeshire,Melbourn Library Access Point,2020-01,Adult fiction hardback,4
Cambridgeshire,Melbourn Library Access Point,2020-01,Adult fiction paperback,40
Cambridgeshire,Melbourn Library Access Point,2020-01,Adult non fiction hardback,3
Cambridgeshire,Melbourn Library Access Point,2020-01,Adult non fiction paperback,1
Cambridgeshire,Melbourn Library Access Point,2020-01,Children's fiction,2
Cambridgeshire,Melbourn Library Access Point,2020-01,Junior fiction,90
Cambridgeshire,Melbourn Library Access Point,2020-01,Junior non-fiction,2
Cambridgeshire,Melbourn Library Access Point,2020-01,Picture Book,2
Cambridgeshire,Milton Road Library,2019-12,Adult fiction,2
Cambridgeshire,Milton Road Library,2019-12,Adult fiction hardback,4
Cambridgeshire,Milton Road Library,2019-12,Adult fiction large print paperback,3
Cambridgeshire,Milton Road Library,2019-12,Adult fiction paperback,16
Cambridgeshire,Milton Road Library,2019-12,Adult non fiction hardback,8
Cambridgeshire,Milton Road Library,2019-12,Adult non fiction paperback,17
Cambridgeshire,Milton Road Library,2019-12,Adult spoken word CD set,2
Cambridgeshire,Milton Road Library,2019-12,DVD: 15,1
Cambridgeshire,Milton Road Library,2019-12,DVD: U,2
Cambridgeshire,Milton Road Library,2019-12,Junior fiction,46
Cambridgeshire,Milton Road Library,2019-12,Junior fiction hardback,1
Cambridgeshire,Milton Road Library,2019-12,Junior fiction paperback,1
Cambridgeshire,Milton Road Library,2019-12,Junior non-fiction,12
Cambridgeshire,Milton Road Library,2019-12,Teenage,1
Cambridgeshire,Milton Road Library,2019-12,Young adult plus,1
Cambridgeshire,Milton Road Library,2020-01,Adult fiction,4
Cambridgeshire,Milton Road Library,2020-01,Adult fiction hardback,17
Cambridgeshire,Milton Road Library,2020-01,Adult fiction large print hardback,4
Cambridgeshire,Milton Road Library,2020-01,Adult fiction large print paperback,7
Cambridgeshire,Milton Road Library,2020-01,Adult fiction paperback,45
Cambridgeshire,Milton Road Library,2020-01,Adult non fiction hardback,13
Cambridgeshire,Milton Road Library,2020-01,Adult non fiction large print hardback,2
Cambridgeshire,Milton Road Library,2020-01,Adult non fiction large print paperback,1
Cambridgeshire,Milton Road Library,2020-01,Adult non fiction paperback,29
Cambridgeshire,Milton Road Library,2020-01,Adult spoken word CD,1
Cambridgeshire,Milton Road Library,2020-01,Adult spoken word CD set,5
Cambridgeshire,Milton Road Library,2020-01,Children's non-fiction,1
Cambridgeshire,Milton Road Library,2020-01,Children's spoken word CD set,9
Cambridgeshire,Milton Road Library,2020-01,DVD: 15,1
Cambridgeshire,Milton Road Library,2020-01,Junior fiction,154
Cambridgeshire,Milton Road Library,2020-01,Junior non-fiction,42
Cambridgeshire,Milton Road Library,2020-01,Teenage,5
Cambridgeshire,Milton Road Library,2020-01,Young adult,3
Cambridgeshire,Mobile Library,2019-12,Adult fiction,35
Cambridgeshire,Mobile Library,2019-12,Adult fiction hardback,77
Cambridgeshire,Mobile Library,2019-12,Adult fiction large print hardback,18
Cambridgeshire,Mobile Library,2019-12,Adult fiction large print paperback,19
Cambridgeshire,Mobile Library,2019-12,Adult fiction paperback,162
Cambridgeshire,Mobile Library,2019-12,Adult non fiction hardback,23
Cambridgeshire,Mobile Library,2019-12,Adult non fiction paperback,29
Cambridgeshire,Mobile Library,2019-12,Adult non-fiction,4
Cambridgeshire,Mobile Library,2019-12,Adult spoken word cassette set,13
Cambridgeshire,Mobile Library,2019-12,Adult spoken word CD set,16
Cambridgeshire,Mobile Library,2019-12,Children's fiction,3
Cambridgeshire,Mobile Library,2019-12,Children's non-fiction,2
Cambridgeshire,Mobile Library,2019-12,Junior fiction,39
Cambridgeshire,Mobile Library,2019-12,Junior non-fiction,10
Cambridgeshire,Mobile Library,2019-12,Teenage,8
Cambridgeshire,Mobile Library,2020-01,Adult fiction,45
Cambridgeshire,Mobile Library,2020-01,Adult fiction hardback,184
Cambridgeshire,Mobile Library,2020-01,Adult fiction large print hardback,125
Cambridgeshire,Mobile Library,2020-01,Adult fiction large print paperback,139
Cambridgeshire,Mobile Library,2020-01,Adult fiction paperback,434
Cambridgeshire,Mobile Library,2020-01,Adult non fiction hardback,44
Cambridgeshire,Mobile Library,2020-01,Adult non fiction large print hardback,5
Cambridgeshire,Mobile Library,2020-01,Adult non fiction large print paperback,1
Cambridgeshire,Mobile Library,2020-01,Adult non fiction paperback,66
Cambridgeshire,Mobile Library,2020-01,Adult non-fiction,8
Cambridgeshire,Mobile Library,2020-01,Adult spoken word cassette set,6
Cambridgeshire,Mobile Library,2020-01,Adult spoken word CD,1
Cambridgeshire,Mobile Library,2020-01,Adult spoken word CD set,7
Cambridgeshire,Mobile Library,2020-01,Bott village college fiction,1
Cambridgeshire,Mobile Library,2020-01,Children's fiction,17
Cambridgeshire,Mobile Library,2020-01,Children's non-fiction,1
Cambridgeshire,Mobile Library,2020-01,DVD: 15,1
Cambridgeshire,Mobile Library,2020-01,Junior fiction,254
Cambridgeshire,Mobile Library,2020-01,Junior non-fiction,16
Cambridgeshire,Mobile Library,2020-01,Quick Pick fiction,4
Cambridgeshire,Mobile Library,2020-01,Quick Pick non-fiction,1
Cambridgeshire,Mobile Library,2020-01,Young adult,1
Cambridgeshire,Papworth Library,2019-12,Adult fiction,1
Cambridgeshire,Papworth Library,2019-12,Adult fiction hardback,5
Cambridgeshire,Papworth Library,2019-12,Adult fiction large print hardback,2
Cambridgeshire,Papworth Library,2019-12,Adult fiction paperback,5
Cambridgeshire,Papworth Library,2019-12,Adult non fiction hardback,1
Cambridgeshire,Papworth Library,2019-12,Adult non fiction paperback,6
Cambridgeshire,Papworth Library,2019-12,Adult non-fiction,1
Cambridgeshire,Papworth Library,2019-12,Children's spoken word CD set,4
Cambridgeshire,Papworth Library,2019-12,Devices and electronics,1
Cambridgeshire,Papworth Library,2019-12,Junior fiction,67
Cambridgeshire,Papworth Library,2019-12,Junior non-fiction,1
Cambridgeshire,Papworth Library,2019-12,Teenage,3
Cambridgeshire,Papworth Library,2020-01,Adult fiction,1
Cambridgeshire,Papworth Library,2020-01,Adult fiction hardback,8
Cambridgeshire,Papworth Library,2020-01,Adult fiction large print hardback,4
Cambridgeshire,Papworth Library,2020-01,Adult fiction large print paperback,1
Cambridgeshire,Papworth Library,2020-01,Adult fiction paperback,19
Cambridgeshire,Papworth Library,2020-01,Adult non fiction hardback,2
Cambridgeshire,Papworth Library,2020-01,Adult non fiction paperback,17
Cambridgeshire,Papworth Library,2020-01,Adult spoken word cassette set,1
Cambridgeshire,Papworth Library,2020-01,Adult spoken word CD set,1
Cambridgeshire,Papworth Library,2020-01,DVD: U,1
Cambridgeshire,Papworth Library,2020-01,Junior fiction,88
Cambridgeshire,Papworth Library,2020-01,Junior non-fiction,7
Cambridgeshire,Papworth Library,2020-01,Teenage,4
Cambridgeshire,Papworth Library,2020-01,Young adult,2
Cambridgeshire,Papworth Library,2020-01,Young adult plus,1
Cambridgeshire,Ramsey Library,2019-12,Adult fiction,9
Cambridgeshire,Ramsey Library,2019-12,Adult fiction hardback,50
Cambridgeshire,Ramsey Library,2019-12,Adult fiction large print hardback,5
Cambridgeshire,Ramsey Library,2019-12,Adult fiction large print paperback,6
Cambridgeshire,Ramsey Library,2019-12,Adult fiction paperback,71
Cambridgeshire,Ramsey Library,2019-12,Adult non fiction hardback,15
Cambridgeshire,Ramsey Library,2019-12,Adult non fiction large print hardback,1
Cambridgeshire,Ramsey Library,2019-12,Adult non fiction paperback,22
Cambridgeshire,Ramsey Library,2019-12,Adult non-fiction,8
Cambridgeshire,Ramsey Library,2019-12,Children's fiction,1
Cambridgeshire,Ramsey Library,2019-12,Children's non-fiction,1
Cambridgeshire,Ramsey Library,2019-12,Junior fiction,85
Cambridgeshire,Ramsey Library,2019-12,Junior non-fiction,9
Cambridgeshire,Ramsey Library,2019-12,Quick Pick fiction,1
Cambridgeshire,Ramsey Library,2019-12,Teenage,1
Cambridgeshire,Ramsey Library,2020-01,Adult fiction,10
Cambridgeshire,Ramsey Library,2020-01,Adult fiction hardback,50
Cambridgeshire,Ramsey Library,2020-01,Adult fiction large print hardback,3
Cambridgeshire,Ramsey Library,2020-01,Adult fiction large print paperback,2
Cambridgeshire,Ramsey Library,2020-01,Adult fiction paperback,115
Cambridgeshire,Ramsey Library,2020-01,Adult non fiction hardback,18
Cambridgeshire,Ramsey Library,2020-01,Adult non fiction large print hardback,1
Cambridgeshire,Ramsey Library,2020-01,Adult non fiction large print paperback,1
Cambridgeshire,Ramsey Library,2020-01,Adult non fiction paperback,21
Cambridgeshire,Ramsey Library,2020-01,Adult non-fiction,5
Cambridgeshire,Ramsey Library,2020-01,Adult spoken word CD set,2
Cambridgeshire,Ramsey Library,2020-01,Children's fiction,2
Cambridgeshire,Ramsey Library,2020-01,Junior fiction,128
Cambridgeshire,Ramsey Library,2020-01,Junior non-fiction,11
Cambridgeshire,Ramsey Library,2020-01,Quick Pick fiction,3
Cambridgeshire,Ramsey Library,2020-01,Teenage,6
Cambridgeshire,Ramsey Library,2020-01,Young adult,2
Cambridgeshire,Rock Road Library,2019-12,Adult fiction,4
Cambridgeshire,Rock Road Library,2019-12,Adult fiction hardback,17
Cambridgeshire,Rock Road Library,2019-12,Adult fiction large print paperback,4
Cambridgeshire,Rock Road Library,2019-12,Adult fiction paperback,52
Cambridgeshire,Rock Road Library,2019-12,Adult non fiction hardback,9
Cambridgeshire,Rock Road Library,2019-12,Adult non fiction paperback,7
Cambridgeshire,Rock Road Library,2019-12,Adult non-fiction,1
Cambridgeshire,Rock Road Library,2019-12,Adult spoken word CD,1
Cambridgeshire,Rock Road Library,2019-12,Adult spoken word CD set,2
Cambridgeshire,Rock Road Library,2019-12,Blu-Ray: 12,1
Cambridgeshire,Rock Road Library,2019-12,Children's non-fiction,1
Cambridgeshire,Rock Road Library,2019-12,Children's spoken word CD set,4
Cambridgeshire,Rock Road Library,2019-12,DVD: 12,1
Cambridgeshire,Rock Road Library,2019-12,DVD: 15,1
Cambridgeshire,Rock Road Library,2019-12,DVD: PG,1
Cambridgeshire,Rock Road Library,2019-12,DVD: U,2
Cambridgeshire,Rock Road Library,2019-12,Junior fiction,200
Cambridgeshire,Rock Road Library,2019-12,Junior non-fiction,28
Cambridgeshire,Rock Road Library,2019-12,Teenage,10
Cambridgeshire,Rock Road Library,2019-12,Young adult,4
Cambridgeshire,Rock Road Library,2019-12,Young adult plus,3
Cambridgeshire,Rock Road Library,2020-01,Adult fiction,6
