NAME,COMPUTER_SESSIONS,WIFI_USE,GATE_COUNT,FISCAL_YEAR,GIS_ID,CREATED_DATE,LAST_EDITED_DATE,OBJECTID,GLOBALID
Georgetown,29082,18677,131823,2016,LibraryPt_25,,2022/08/04 22:59:02+00,36,{F3F9980F-F837-464C-A6A6-36E506573CA3}
Lamond-Riggs,21356,8314,111443,2016,LibraryPt_18,,2022/08/04 22:59:02+00,37,{A36EFBF8-AABE-4DF6-9EE1-BE255E1D4F91}
"Martin Luther King, Jr. Memorial Library",198422,106822,606766,2016,LibraryPt_9,,2022/08/04 22:59:02+00,38,{9EF242B8-7DDF-4D3D-B805-7A6BC4D1CC8F}
Mt. Pleasant,48860,22194,240271,2016,LibraryPt_31,,2022/08/04 22:59:02+00,39,{B7DF2A32-60AF-42FE-AD98-84851AA899D8}
Northeast,32971,11621,123406,2016,LibraryPt_10,,2022/08/04 22:59:02+00,40,{BC93A202-4978-4548-9357-D7AFF69A0F16}
Northwest One,30460,6836,87049,2016,LibraryPt_23,,2022/08/04 22:59:02+00,41,{85AAB26A-2080-4184-B887-91E2947E5873}
Palisades,6241,5139,92153,2016,LibraryPt_12,,2022/08/04 22:59:02+00,42,{E96A9A51-D954-4F25-80EA-B5A521050B44}
Parklands-Turner,33972,17689,141745,2016,LibraryPt_19,,2022/08/04 22:59:02+00,43,{A5BA513A-8884-4027-A029-8926CD38F0CD}
Petworth,50902,23587,174269,2016,LibraryPt_26,,2022/08/04 22:59:02+00,44,{467A8CEC-7206-4432-8F11-9CE05E052611}
Rosedale,19515,5738,89518,2016,LibraryPt_32,,2022/08/04 22:59:02+00,45,{294D3A42-1A8B-4618-92BB-BF4046A141FA}
Shaw (Watha T. Daniel),60343,25939,213627,2016,LibraryPt_28,,2022/08/04 22:59:02+00,46,{BC2B9D0E-ABAB-4114-8B8C-35D8D5799FA6}
Shepherd Park (Juanita E. Thornton),11891,4220,49835,2016,LibraryPt_16,,2022/08/04 22:59:02+00,47,{37E91490-CA14-4806-BD05-C8A85324A03A}
Southeast,18281,12219,157353,2016,LibraryPt_14,,2022/08/04 22:59:02+00,48,{60120E63-C9DC-4A25-B918-D4BD4E3EF65A}
Southwest ,21868,7011,102694,2016,LibraryPt_15,,2022/08/04 22:59:02+00,49,{B3288375-3130-404E-9D22-2EA9F8910E37}
Takoma Park,23131,5470,83638,2016,LibraryPt_17,,2022/08/04 22:59:02+00,50,{15FB465A-133A-4C90-8383-87C3F3D0E25E}
Tenley-Friendship,40856,16852,234713,2016,LibraryPt_11,,2022/08/04 22:59:02+00,51,{1CFACEE9-DC00-42BC-9E6E-5029249AF9B8}
West End,18841,3313,87613,2016,LibraryPt_21,,2022/08/04 22:59:02+00,52,{38E45CE8-922B-48F9-9FC2-73CF471CA82C}
Woodridge,33597,6051,79758,2016,LibraryPt_22,,2022/08/04 22:59:02+00,53,{BEA53F3D-9184-44D4-A859-0C55207AC237}
Anacostia,51414,18998,170376,2017,LibraryPt_24,,2022/08/04 22:59:02+00,54,{F6C98DC7-3DF9-467E-9812-E5432C2B9E91}
Bellevue (William O. Lockridge),50537,11312,107224,2017,LibraryPt_20,,2022/08/04 22:59:02+00,55,{8858202C-E33E-43A0-9284-E6AF41BFACBA}
Benning (Dorothy I. Height),51273,24460,214167,2017,LibraryPt_2,,2022/08/04 22:59:02+00,56,{896B6C54-5826-4D0C-900D-DCB7084E64AA}
Capitol View,13170,3273,45947,2017,LibraryPt_3,,2022/08/04 22:59:02+00,57,{9D78C9B7-12CF-4F5F-96AE-AC7B9362C740}
Chevy Chase,12643,12903,150916,2017,LibraryPt_4,,2022/08/04 22:59:02+00,58,{F726C568-08E3-426A-915F-A1D283F30707}
Cleveland Park,6624,5676,67730,2017,LibraryPt_5,,2022/08/04 22:59:02+00,59,{95095C49-C3B3-4D47-89C7-A9243A79C978}
Deanwood,28469,6610,97190,2017,LibraryPt_29,,2022/08/04 22:59:02+00,60,{7CCCA85C-5461-4D3F-8600-37AEA67BDB37}
Francis Gregory,38702,9985,107119,2017,LibraryPt_7,,2022/08/04 22:59:02+00,61,{A4070BA7-BF74-4E03-9536-58E5B0F61745}
Georgetown,27370,23856,149406,2017,LibraryPt_25,,2022/08/04 22:59:02+00,62,{AB87B20E-D88E-4B36-97D0-78010B84B992}
Lamond-Riggs,28017,8511,118089,2017,LibraryPt_18,,2022/08/04 22:59:02+00,63,{AD70FC1B-FFFD-40A3-BABD-4F92AE1C0D81}
Library Express,8145,4340,36686,2017,,,2021/07/16 00:26:09+00,64,{CB0D7386-08E5-4A7C-BBB2-C74F145FEE45}
"Martin Luther King, Jr. Memorial Library",90262,50813,238682,2017,LibraryPt_9,,2022/08/04 22:59:02+00,65,{26E9956B-DE58-4219-9750-D68420825090}
Mt. Pleasant,53934,26199,256268,2017,LibraryPt_31,,2022/08/04 22:59:02+00,66,{80F98CE2-92F8-4B9B-B383-C13B8ED0582A}
Northeast,32001,16921,128757,2017,LibraryPt_10,,2022/08/04 22:59:02+00,67,{1A1B828C-CD80-4A54-92CF-BE28045A7FA3}
Northwest One,35728,7653,105631,2017,LibraryPt_23,,2022/08/04 22:59:02+00,68,{69948883-0367-4FA7-826E-E642B2B2D688}
